ID,Name,Category,Stock Quantity,Price,Supplier Information
ID-001,Member,Beauty,93,476.63,Foooerguson-Bennett (Contact: 771.766.6609x8463)
ID-002,Prevent,Office Supplies,193,266.25,Morse Harris and Swanson (Contact: (664)620-6837x217); White PLC (Contact: (794)760-6056); Smith-Alexander (Contact: 734.397.9346x18269)
ID-003,Wide,Toys,43,351.58,Medina-Jimenez (Contact: (301)260-8819x72753)
ID-004,Also,Office Supplies,91,23.78,Mann and Sons (Contact: (665)104-7287x564)
ID-005,Same,Electronics,15,435.06,Herrera Pham and Davis (Contact: 120.230.8182x878); Cameron-Martinez (Contact: (373)704-0755x572); Horn and Sons (Contact: (113)229-9607x579)
ID-006,Science,Clothing,53,412.58,Myers-Kirby (Contact: (718)778-0670x695); Bryant and Sons (Contact: 001-251-687-5560); Vega and Sons (Contact: 3526094553)
ID-007,According,Beauty,37,392.26,Estes Inc (Contact: 300-778-5707x489)
ID-008,Minute,Health,182,126.05,Campbell-Hamilton (Contact: 3166841315); Good Ltd (Contact: 448-685-1146x8815); Mcclain Smith and Robinson (Contact: 915-479-5758x67422)
ID-009,Foreign,Books,131,294.91,Kelly Mckenzie and Cruz (Contact: +1-672-832-0837x12426); Robinson Group (Contact: 956-274-4020)
ID-010,Challenge,Clothing,29,437.5,Wolfe-Tanner (Contact: 252-842-4775x91044)
ID-011,Professional,Toys,140,329.64,Ashley-Jackson (Contact: 001-682-471-1816)
ID-012,Appear,Toys,77,81.33,Underwood Lewis and Smith (Contact: 709.455.1999); Jordan Cooper and Ball (Contact: 001-372-349-9036x03837)
ID-013,Make,Clothing,47,122.06,Stokes-Parrish (Contact: 9131542983); Silva Nunez and Figueroa (Contact: 001-298-017-4025x122); Boyd Group (Contact: +1-676-083-7471x17888)
ID-014,Story,Office Supplies,4,273.87,Smith Lewis and Barton (Contact: 075-233-1741x9777); Frederick Hernandez and Matthews (Contact: (994)799-2971x128); Jimenez PLC (Contact: 706-260-4308x88798)
ID-015,Sort,Clothing,92,290.36,Price Group (Contact: +1-035-583-3396x767); Mcfarland-Padilla (Contact: 298-005-8734x0691); Reid-Smith (Contact: 154.253.4766x3465)
ID-016,Again,Furniture,81,135.61,Harvey-Bell (Contact: 006.910.0420x81189)
ID-017,All,Groceries,192,181.28,Cook Bates and Jones (Contact: 001-743-038-2724); Holland Shaw and Green (Contact: 001-814-959-7149x33280)
ID-018,Question,Furniture,175,18.38,Ruiz Ltd (Contact: (792)796-5895x066); Willis Ellis and Mccoy (Contact: +1-321-247-6394)
ID-019,Chair,Sports,174,220.27,Green Fletcher and Young (Contact: +1-737-758-6160); Sullivan LLC (Contact: (506)735-5813)
ID-020,Factor,Clothing,128,136.48,Garrett Inc (Contact: +1-937-479-3270); Wright Randolph and Lee (Contact: +1-862-842-2177x941)
ID-021,Half,Books,100,217.43,Vaughn-Welch (Contact: 407.368.2361x7315); Mcpherson-Garcia (Contact: +1-197-386-7824x44811); Shea Morris and Rush (Contact: 0118939170)
ID-022,Wear,Toys,165,101.29,Wu-Greer (Contact: 052.359.1398x819)
ID-023,School,Toys,76,443.16,Martin Thompson and Edwards (Contact: +1-697-883-9120x32943); Simmons-Roberts (Contact: 001-325-756-5859x79106); Osborn-Todd (Contact: (092)453-1091x7440)
ID-024,Far,Books,146,422.24,Harvey-Fisher (Contact: (177)772-1744)
ID-025,Team,Groceries,154,52.53,Walsh-Maddox (Contact: 054.609.0699); Gonzalez Ltd (Contact: 9353660035); Lambert-Carter (Contact: 381-662-2525x77363)
ID-026,Off,Electronics,170,278.95,Smith PLC (Contact: 218-296-7340x4880)
ID-027,High,Toys,200,497.04,Fields Olson and Olson (Contact: 853.480.1361); Moore Inc (Contact: (628)141-4445); Jacobson-Moore (Contact: 165-235-6436)
ID-028,Individual,Groceries,33,270.51,Wright-Rodriguez (Contact: 823.454.0534); Cortez Johnson and Cervantes (Contact: 494.394.2936x02649); Parker Sandoval and Baker (Contact: 714-515-3123x918)
ID-029,Since,Books,59,377.09,Gonzalez-Williams (Contact: 6129628946); Blake-Jackson (Contact: 796.391.4334); Maddox-Lane (Contact: 833-522-0499)
ID-030,Culture,Books,7,467.11,Zuniga-White (Contact: 106.441.1961x854); Henderson and Sons (Contact: 001-986-075-0414x374); Miller-Owens (Contact: 806.495.5124)
ID-031,Bill,Beauty,60,286.09,Smith White and Francis (Contact: 001-063-431-8408x711)
ID-032,Will,Furniture,86,287.66,Jennings Ltd (Contact: +1-726-055-8243); Coleman James and Cox (Contact: (915)526-1103)
ID-033,Specific,Furniture,185,20.64,Jackson Wilson and Wagner (Contact: 730-283-1254x71145)
ID-034,According,Books,68,207.93,Keller Group (Contact: +1-592-538-9161); King Bennett and Hall (Contact: 001-987-749-0784x898); Phelps-Bell (Contact: 001-895-930-8593x5847)
ID-035,Ten,Electronics,165,468.04,Hughes Wright and Davis (Contact: 993.204.8592); Holland Group (Contact: +1-548-577-0798x201)
ID-036,Serve,Sports,62,498.71,Cox LLC (Contact: 839-136-0557x79578)
ID-037,My,Electronics,119,362.8,Olsen and Sons (Contact: +1-839-146-1496)
ID-038,Most,Clothing,69,259.95,Hunt-Wright (Contact: 001-130-310-5683x8507); Reed Ltd (Contact: +1-262-815-2516x419)
ID-039,Describe,Toys,95,362.11,Ward White and Higgins (Contact: 860-918-1966); Rodriguez Rodgers and Pena (Contact: +1-720-209-8280x1031)
ID-040,Scientist,Sports,103,71.19,Cordova Jones and James (Contact: 001-912-654-1840x397); White Group (Contact: 001-459-535-1529x564); Pearson-Giles (Contact: (751)042-5949x794)
ID-041,Growth,Groceries,29,484.09,Harper Kent and Black (Contact: 503.531.6736x21773); Adams LLC (Contact: 001-134-918-7353); Chan Scott and Sanders (Contact: +1-546-440-4222x860)
ID-042,Everything,Books,76,92.31,Hunt Flores and Valdez (Contact: +1-725-324-2086x236); Woodard-Garza (Contact: 001-339-561-4884x7862); Pittman and Sons (Contact: 357-505-3643)
ID-043,Perform,Health,156,6.34,Ramos-Sexton (Contact: 383-840-1196); Webb-Jones (Contact: (156)629-9483); Martinez Ltd (Contact: 526-931-5611)
ID-044,For,Beauty,3,441.06,Jackson-Washington (Contact: 735-625-9586x36050); Perez Winters and Rasmussen (Contact: 773-685-9855x88615)
ID-045,Thus,Health,19,227,Bell-Hoffman (Contact: 001-111-947-9744x784)
